id;name;perfered_day;double_shift;shift_type;perfered_unit
1;Account program Kyat;Avon indexing;3949;Saint parsing;Outdoors Chicken
2;Cotton;overriding Legacy;54563;Hryvnia;Granite
3;Producer Clothing Usability;panel repurpose Legacy;80832;Account Assistant;AI
4;program Realigned open-source;protocol Tennessee;56660;payment Rupee navigating;Mandatory
5;Caledonia Ergonomic;Extension Steel;60078;deposit Refined Pants;Corporate uniform Technician
6;Intelligent transmit program;Metal Rustic;62923;facilitate;Home
7;Fresh;Technician;68953;workforce Public-key;bypass
8;generate Bedfordshire web-enabled;Chair Future;21998;Tasty;Fantastic
9;Principal Virginia;scalable Security Intuitive;97584;Borders Functionality;implement metrics scale
10;Steel;solution navigating Circle;88117;generate Vermont;auxiliary
